2025-12-16 16:41:07,150 - evaluate.py - INFO - 对该轮训练结果进行预测...
2025-12-16 16:41:08,547 - evaluate.py - INFO - batch_x.shape:torch.Size([20, 50]), batch_y_pred.shape:torch.Size([20, 50])
2025-12-16 16:41:08,547 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 13}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 24}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 2}), 'TIME': defaultdict(<class 'int'>, {'total_count': 11})}
2025-12-16 16:41:08,548 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 13}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 24}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 2}), 'TIME': defaultdict(<class 'int'>, {'total_count': 12})}
2025-12-16 16:41:08,548 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 14}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 24}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 2}), 'TIME': defaultdict(<class 'int'>, {'total_count': 12})}
2025-12-16 16:41:08,549 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 14}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 26}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 4}), 'TIME': defaultdict(<class 'int'>, {'total_count': 12})}
2025-12-16 16:41:08,549 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 15}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 27}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 4}), 'TIME': defaultdict(<class 'int'>, {'total_count': 13})}
2025-12-16 16:41:08,549 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 17}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 27}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 5}), 'TIME': defaultdict(<class 'int'>, {'total_count': 14})}
2025-12-16 16:41:08,550 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 19}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 27}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 5}), 'TIME': defaultdict(<class 'int'>, {'total_count': 14})}
2025-12-16 16:41:08,550 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 19}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 29}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 5}), 'TIME': defaultdict(<class 'int'>, {'total_count': 15})}
2025-12-16 16:41:08,551 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 19}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 31}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 5}), 'TIME': defaultdict(<class 'int'>, {'total_count': 16})}
2025-12-16 16:41:08,551 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 19}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 31}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 5}), 'TIME': defaultdict(<class 'int'>, {'total_count': 17})}
2025-12-16 16:41:08,551 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 19}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 32}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 5}), 'TIME': defaultdict(<class 'int'>, {'total_count': 17})}
2025-12-16 16:41:08,552 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 20}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 33}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 6}), 'TIME': defaultdict(<class 'int'>, {'total_count': 18})}
2025-12-16 16:41:08,552 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 21}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 34}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 6}), 'TIME': defaultdict(<class 'int'>, {'total_count': 18})}
2025-12-16 16:41:08,553 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 21}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 36}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 6}), 'TIME': defaultdict(<class 'int'>, {'total_count': 18})}
2025-12-16 16:41:08,553 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 23}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 37}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 7}), 'TIME': defaultdict(<class 'int'>, {'total_count': 19})}
2025-12-16 16:41:08,553 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 23}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 37}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 8}), 'TIME': defaultdict(<class 'int'>, {'total_count': 20})}
2025-12-16 16:41:08,554 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 23}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 39}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 8}), 'TIME': defaultdict(<class 'int'>, {'total_count': 21})}
2025-12-16 16:41:08,554 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 24}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 40}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 8}), 'TIME': defaultdict(<class 'int'>, {'total_count': 22})}
2025-12-16 16:41:08,555 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 25}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 40}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 8}), 'TIME': defaultdict(<class 'int'>, {'total_count': 22})}
2025-12-16 16:41:08,555 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 26}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 44}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 10}), 'TIME': defaultdict(<class 'int'>, {'total_count': 23})}
2025-12-16 16:41:09,252 - evaluate.py - INFO - batch_x.shape:torch.Size([20, 50]), batch_y_pred.shape:torch.Size([20, 50])
2025-12-16 16:41:09,252 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 26}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 45}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 10}), 'TIME': defaultdict(<class 'int'>, {'total_count': 23})}
2025-12-16 16:41:09,253 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 26}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 45}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 11}), 'TIME': defaultdict(<class 'int'>, {'total_count': 24})}
2025-12-16 16:41:09,253 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 27}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 46}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 11}), 'TIME': defaultdict(<class 'int'>, {'total_count': 24})}
2025-12-16 16:41:09,254 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 27}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 46}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 11}), 'TIME': defaultdict(<class 'int'>, {'total_count': 25})}
2025-12-16 16:41:09,254 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 27}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 47}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 11}), 'TIME': defaultdict(<class 'int'>, {'total_count': 25})}
2025-12-16 16:41:09,255 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 27}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 49}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 12}), 'TIME': defaultdict(<class 'int'>, {'total_count': 25})}
2025-12-16 16:41:09,255 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 27}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 50}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 12}), 'TIME': defaultdict(<class 'int'>, {'total_count': 25})}
2025-12-16 16:41:09,256 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 27}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 52}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 12}), 'TIME': defaultdict(<class 'int'>, {'total_count': 25})}
2025-12-16 16:41:09,256 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 30}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 56}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 12}), 'TIME': defaultdict(<class 'int'>, {'total_count': 26})}
2025-12-16 16:41:09,256 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 31}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 57}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 12}), 'TIME': defaultdict(<class 'int'>, {'total_count': 26})}
2025-12-16 16:41:09,257 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 31}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 59}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 12}), 'TIME': defaultdict(<class 'int'>, {'total_count': 26})}
2025-12-16 16:41:09,257 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 31}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 60}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 12}), 'TIME': defaultdict(<class 'int'>, {'total_count': 27})}
2025-12-16 16:41:09,258 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 32}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 62}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 13}), 'TIME': defaultdict(<class 'int'>, {'total_count': 28})}
2025-12-16 16:41:09,258 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 34}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 63}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 13}), 'TIME': defaultdict(<class 'int'>, {'total_count': 28})}
2025-12-16 16:41:09,259 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 34}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 63}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 14}), 'TIME': defaultdict(<class 'int'>, {'total_count': 28})}
2025-12-16 16:41:09,259 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 36}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 63}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 14}), 'TIME': defaultdict(<class 'int'>, {'total_count': 28})}
2025-12-16 16:41:09,260 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 38}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 63}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 14}), 'TIME': defaultdict(<class 'int'>, {'total_count': 28})}
2025-12-16 16:41:09,260 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 38}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 65}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 14}), 'TIME': defaultdict(<class 'int'>, {'total_count': 28})}
2025-12-16 16:41:09,260 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 40}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 65}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 14}), 'TIME': defaultdict(<class 'int'>, {'total_count': 28})}
2025-12-16 16:41:09,261 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 40}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 66}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 14}), 'TIME': defaultdict(<class 'int'>, {'total_count': 28})}
2025-12-16 16:41:09,970 - evaluate.py - INFO - batch_x.shape:torch.Size([20, 50]), batch_y_pred.shape:torch.Size([20, 50])
2025-12-16 16:41:09,971 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 41}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 66}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 14}), 'TIME': defaultdict(<class 'int'>, {'total_count': 28})}
2025-12-16 16:41:09,972 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 41}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 66}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 14}), 'TIME': defaultdict(<class 'int'>, {'total_count': 30})}
2025-12-16 16:41:09,972 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 42}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 68}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 14}), 'TIME': defaultdict(<class 'int'>, {'total_count': 31})}
2025-12-16 16:41:09,973 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 43}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 69}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 15}), 'TIME': defaultdict(<class 'int'>, {'total_count': 32})}
2025-12-16 16:41:09,973 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 45}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 69}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 15}), 'TIME': defaultdict(<class 'int'>, {'total_count': 32})}
2025-12-16 16:41:09,973 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 46}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 69}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 17}), 'TIME': defaultdict(<class 'int'>, {'total_count': 33})}
2025-12-16 16:41:09,974 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 47}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 69}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 17}), 'TIME': defaultdict(<class 'int'>, {'total_count': 33})}
2025-12-16 16:41:09,975 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 49}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 69}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 18}), 'TIME': defaultdict(<class 'int'>, {'total_count': 33})}
2025-12-16 16:41:09,975 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 49}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 71}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 19}), 'TIME': defaultdict(<class 'int'>, {'total_count': 33})}
